Gene_name	Chr	Start	End	Strand	meRIP_TKO	RNAPII_TKOmean_GB	RNAPII_TKOmean_PR	PausIndex_TKO	cheRNA_TKO_mean	TK0_Pull
Xkr4	chr1	3212481	3673498	-	0.864459638637223	3.27427975801437e-07	5.93167196934919e-07	1.81159595628028	3.98342815632645e-08	3.34
Lypla1	chr1	4805892	4848735	+	0.80180489854718	8.19738004141383e-07	4.59826260673062e-06	5.60942957810889	1.46223719486825e-06	3.94
Tcea1	chr1	4855693	4899909	+	0.542589146108959	9.76453300344346e-07	5.62139051570212e-06	5.75694763253884	3.0268665944582e-06	3.36
Atp6v1h	chr1	5081085	5164549	+	0.573336511402699	7.56817512298395e-07	2.14059737668031e-06	2.82841945633563	1.71859626446873e-06	8.76
Rb1cc1	chr1	6212661	6278104	+	1.05687168880436	5.22282595003339e-07	3.76484698160785e-06	7.20844810381587	9.73171477462393e-07	3.28
St18	chr1	6485230	6862940	+	0.543869356242626	3.38873171265945e-07	3.75391648404898e-07	1.10776443883866	2.7968412044378e-08	1.32
Pcmtd1	chr1	7086919	7175628	+	0.67446364535004	6.52397424898543e-07	6.73610650298054e-06	10.3251580185622	1.90588074016766e-06	1.56
Adhfe1	chr1	9546045	9579968	+	1.53366759975222	5.15201157442615e-07	2.05368185658672e-06	3.98617477255079	7.72745219987352e-07	3.2
Mybl1	chr1	9665410	9702209	-	0.550044047109589	7.01718834629362e-07	3.91550983343441e-06	5.57988419322181	1.36870903189894e-06	3.36
Vcpip1	chr1	9716621	9750382	-	1.7244651416504	7.58176928061953e-07	3.44563753234753e-06	4.5446351699929	9.77179374215037e-07	1.7
Sgk3	chr1	9796129	9904570	+	0.503487658908436	4.56744823378915e-07	6.59056124558203e-07	1.44294164011017	8.43706355863116e-08	0.9
Ppp1r42	chr1	9966621	10011136	-	0.625041571195598	4.52234781041493e-07	8.07271438224421e-07	1.78507154262943	2.48339733671632e-08	0.66
Cspp1	chr1	10036217	10138768	+	0.615628530943461	6.46045715891562e-07	2.6222345779735e-06	4.05889941450156	1.30410242018937e-06	3.24
Arfgef1	chr1	10135506	10234670	-	0.722634262420309	5.5750366194088e-07	1.13924703866387e-06	2.04347902343407	8.74828591407816e-07	3.7
Sulf1	chr1	12690429	12862372	+	1.03317446338099	4.83208297912961e-07	6.02873925413619e-07	1.24764812197454	2.61336564240781e-07	0.9
