Gene_name	Chr	Start	End	Strand	meRIP_WT	RNAPII_WTmean_GB	RNAPII_WTmean_PR	PausIndex_WT	cheRNA_WT_mean	WT_Pull
Xkr4	chr1	3212481	3673498	-	1.14237689159801	2.97652645270972e-07	7.97181624537693e-07	2.67822791835755	7.66736253505444e-08	1.82
Lypla1	chr1	4805892	4848735	+	0.72597621263904	6.8272122967977e-07	3.4324943346452e-06	5.02766603032867	1.08899587474311e-06	3.02
Tcea1	chr1	4855693	4899909	+	0.545264273707253	7.30479549473937e-07	4.88514457931606e-06	6.6875856864633	1.74208782081338e-06	3.74
Atp6v1h	chr1	5081085	5164549	+	0.648036622538578	7.09528771397096e-07	2.09436735120467e-06	2.95177226862945	1.64446273220472e-06	8.56
Rb1cc1	chr1	6212661	6278104	+	1.26091282301498	4.43608306886712e-07	3.31494726131639e-06	7.47268978027266	1.06896706560943e-06	3.04
St18	chr1	6485230	6862940	+	0.545725210649941	3.03367239348926e-07	4.32614081025647e-07	1.42604086701684	2.88921774205577e-08	2.24
Pcmtd1	chr1	7086919	7175628	+	0.856197626967873	6.27022754604863e-07	5.32794425622776e-06	8.49721037569892	2.34622818586306e-06	3.2
Adhfe1	chr1	9546045	9579968	+	1.50873714143154	4.9770283599667e-07	1.97930198435955e-06	3.97687503708095	6.82467624770209e-07	2.5
Mybl1	chr1	9665410	9702209	-	0.693873461459409	5.25084522438067e-07	3.07931100904398e-06	5.86441016152248	1.18958343174655e-06	4.32
Vcpip1	chr1	9716621	9750382	-	1.78108182732556	5.67808798361229e-07	2.7866692047833e-06	4.90775981778725	9.74099763657614e-07	1.28
Sgk3	chr1	9796129	9904570	+	0.931535383116673	3.67294883429948e-07	6.38350062049851e-07	1.73797700661844	8.30917213965883e-08	0.66
Ppp1r42	chr1	9966621	10011136	-	0.711753886907793	3.71677464209102e-07	6.41602695738657e-07	1.72623512997737	2.10124339136883e-08	1.12
Cspp1	chr1	10036217	10138768	+	0.662127013824854	5.93119690070756e-07	3.11277719800548e-06	5.24814341879991	1.3193545258871e-06	2.9
Arfgef1	chr1	10135506	10234670	-	0.824413687127673	5.19567978355896e-07	1.62340813068432e-06	3.12453461012239	1.14913352509081e-06	3.26
Sulf1	chr1	12690429	12862372	+	0.591207079712129	4.85691681222807e-07	8.18637027539411e-07	1.68550761560989	5.22908058829648e-07	1.18
Ncoa2	chr1	13137104	13376083	-	0.666510554964751	4.69112821965324e-07	1.65915715290018e-06	3.53679770667795	7.37832416190502e-07	1.3
Tram1	chr1	13562692	13591910	-	0.319468459582046	5.56050055235542e-07	2.53097504476324e-06	4.55170361181085	1.10679224755936e-06	3.16
Lactb2	chr1	13623897	13662509	-	0.520801404579351	8.47170628616464e-07	4.4354119402071e-06	5.23555915465422	2.45713822036444e-06	3.46
Eya1	chr1	14166957	14312199	-	0.857174322354921	3.67508794883804e-07	8.44314864664376e-07	2.29740043345446	2.06072448788683e-07	6.02
Terf1	chr1	15803645	15846052	+	0.752269128899907	9.7883306711069e-07	2.94376003963158e-06	3.00741785146362	3.14595878081483e-06	3.2
Rdh10	chr1	16103881	16134550	+	0.446881043345017	4.56360231448577e-07	1.11333284346413e-06	2.43959216150407	5.23421989670004e-07	3.38
Ube2w	chr1	16538787	16621338	-	0.701097493166993	5.05293431499722e-07	3.45785888774569e-06	6.84326902386736	7.41008376357599e-07	3.46
